Date,Startup Name,SubVertical,City,Amount,is_funded,Year,Month,Industry Vertical Cleaned,InvestmentType_Cleaned,Investors_Cleaned
2017-06-08,Multiplier Solutions,CRM Software for Healthcare space,hyderabad,1500000.0,1,2017,6,technology,Private Equity,Norwest Venture Partners
2017-06-08,ABI Health,Unified Digital Health Platform,bengaluru,1500000.0,1,2017,6,technology,Private Equity,Norwest Venture Partners
2017-06-08,Stockal,App-based Investment advisory Services,bengaluru,350000.0,1,2017,6,consumer services,Seed,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha"
2017-06-09,Guidoo,Travel & adventure planning platform,mumbai,300000.0,1,2017,6,consumer services,Seed,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao"
2017-06-09,eSahai.in,ambulance aggregator and medical taxi provider,hyderabad,250000.0,1,2017,6,consumer services,Seed,"Dr Ramesh Ayyala, Satya Muthyala"
2017-06-12,Loanmeet,Online peer-to-peer lending platform,bengaluru,,0,2017,6,consumer services,Seed,"Cao Yibin, Huang Wei, Madhusudan E,"
2017-06-12,LendingKart,Online Lending platform,ahmedabad,7800000.0,1,2017,6,consumer services,Debt,Yes Bank
2017-06-12,Boxx.ai,Artificial Intelligence,bengaluru,500000.0,1,2017,6,technology,Private Equity,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava"
2017-06-12,PeeSafe.in,Hygiene care product manufacturer,delhi,1000000.0,1,2017,6,healthcare,Private Equity,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures"
2017-06-12,Vista Rooms,Online rooms aggregation platform,mumbai,776000.0,1,2017,6,consumer services,Seed,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham"
2017-06-12,CoverFox,Online insurance brokerage platform,mumbai,15000000.0,1,2017,6,consumer services,Private Equity,Transamerica
2017-06-13,HyperTrack,Location tracking solutions,delhi,,0,2017,6,technology,Private Equity,"Nexus Venture Partners, Founders Fund"
2017-06-13,Goodera,CSR and sustainability management platform,bengaluru,5500000.0,1,2017,6,technology,Private Equity,"Nexus Venture Partners, Omidyar Network"
2017-06-13,Digit,Tech driven Insurance platform,bengaluru,,0,2017,6,technology,Private Equity,Fairfax Holdings
2017-06-14,Ola,Cab Aggregation App,bengaluru,50000000.0,1,2017,6,consumer services,Private Equity,Tekne Capital Management Llc
2017-06-14,Vanitycask,Beauty products discovery platform,mumbai,,0,2017,6,consumer services,Seed,Rb Investments
2017-06-14,MrNeeds,Micro Food Delivery platform,noida,500000.0,1,2017,6,consumer services,Seed,Undisclosed
2017-06-15,MoneyTap,Money Lending platform,bengaluru,12300000.0,1,2017,6,consumer services,Private Equity,"Sequoia India, Nea, Prime Venture Partners"
2017-06-16,Goodbox,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,bengaluru,1000000.0,1,2017,6,e-commerce,Private Equity,"Nexus Venture Partners, Mekin Maheshwari"
2017-06-16,Fincash,Personal Finance platform,mumbai,100000.0,1,2017,6,consumer services,Seed,"Mohammed Khan, Sameer Narayan & Others"
2017-06-16,PortDesk,Maritime Solutions,noida,2000000.0,1,2017,6,technology,Seed,Alphard Maritime Group
2017-06-16,EdgeFx,DIY project Kits seller,hyderabad,,0,2017,6,e-commerce,Seed,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels"
2017-06-16,EazyDiner,Online Restaurant Reservation Platform,gurgaon,,0,2017,6,consumer services,Seed,Youwecan Ventures
2017-06-16,HealthIntel,Online Pharmacy,delhi,,0,2017,6,healthcare,Seed,Blip Initiatives
2017-06-19,Unbxd,Cloud-based product discovery platform,bengaluru,12500000.0,1,2017,6,technology,Private Equity,Eight Roads Ventures
2017-06-19,DarwinBox,Enterprise human resources management platform,hyderabad,4000000.0,1,2017,6,technology,Private Equity,"Lightspeed India Partners, Endiya Partners, 3One4 Capital Advisors Llp, Startupxseed Ventures Llp"
2017-06-20,ForeverShop,Mobile based ecommerce platform,bengaluru,300000.0,1,2017,6,consumer services,Seed,91Maker.Com
2017-06-20,Insider.in,Events Ticketing platform,mumbai,5200000.0,1,2017,6,consumer services,Private Equity,Paytm
2017-06-21,Fynd,Fashion etailer,mumbai,2400000.0,1,2017,6,e-commerce,Private Equity,"Iifl Seed Ventures, Kae Capital, Fj Labs, Singularity Ventures, Growx, Tracxn Labs, Axis Capital"
2017-06-21,Grow Fit,Health-Tech platform,bengaluru,4500000.0,1,2017,6,consumer services,Private Equity,"Manipal Education And Medical Group (Memg), Sar Group, The Grover Trust"
2017-06-21,Fabulyst,Artificial Intelligence based platform,hyderabad,215000.0,1,2017,6,technology,Seed,Ibhubs
2017-06-21,mSwipe,Point-of-Sale services,mumbai,31000000.0,1,2017,6,technology,Private Equity,"Uc-Rnt Fund, Matrix Partners, Alcon Edge Capital, Dsg Consumer Partners"
2017-06-21,OneAssist,Credit card fraud protection,mumbai,,0,2017,6,consumer services,Private Equity,Sequoia Capital
2017-06-22,Julia Computing,Open Source Language for Data Science and Machine Learning,bengaluru,4600000.0,1,2017,6,technology,Private Equity,"General Catalyst, Founder Collective"
2017-06-22,Kissht,Consumer Lending platform,mumbai,2000000.0,1,2017,6,consumer services,Private Equity,"Endiya Partners, Ventureast"
2017-06-22,Explore Life traveling,Local homes booking platform,bengaluru,500000.0,1,2017,6,consumer services,Seed,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere"
2017-06-23,Loantap,Lending platform for salaried professionals,mumbai,4000000.0,1,2017,6,consumer services,Private Equity,"Kae Capital, India Quotient, Ifmr, And Mas Financial Services Ltd"
2017-06-23,Voxweb,Mobile based social networking platform,mumbai,1000000.0,1,2017,6,consumer services,Seed,Undisclosed
2017-06-26,HUG Innovations,Gesture based\\xc2\\xa0 Smartwatch manufacturer,hyderabad,5000000.0,1,2017,6,technology,Private Equity,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon"
2017-06-26,Flipkart,Online marketplace,bengaluru,71000000.0,1,2017,6,e-commerce,Private Equity,Naspers
2017-06-26,V Resorts,Holiday & Vacation resort aggregator,noida,4000000.0,1,2017,6,consumer services,Private Equity,"Seedfund, Rb International"
2017-06-27,Stashfin,Personal Finance App,delhi,5000000.0,1,2017,6,consumer services,Private Equity,"Snow Leopard Ventures, Alto Partners"
2017-06-27,Formcept,Unified Data Analysis platform,bengaluru,,0,2017,6,consumer services,Private Equity,Gujarat Venture Finance Ltd
2017-06-27,Spares Hub,Automobile parts marketplace,pune,311000.0,1,2017,6,e-commerce,Seed,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting"
2017-06-28,FiTraQ,Fitness Centre Discovery Platform,delhi,,0,2017,6,consumer services,Seed,"Aparup Sengupta, Devendra Reddy,"
2017-06-28,Rubique,Online Marketplace for financial products,mumbai,3000000.0,1,2017,6,consumer services,Private Equity,"Kalaari Capital, Udayan Goyal"
2017-06-28,Niki.ai,AI Based Personal Assistant,bengaluru,2000000.0,1,2017,6,consumer services,Private Equity,"Sap.Io, Unilazer Ventures"
2017-06-29,Fitpass,Online Fitness Marketplace,delhi,1000000.0,1,2017,6,consumer services,Private Equity,"Abhinav Bindra, Gaurav Marya"
2017-06-29,ZingHR,"digital employee solutions,",mumbai,,0,2017,6,technology,Private Equity,Zeta
2017-06-30,Tagos Design,in-video discovery platform,bengaluru,5000000.0,1,2017,6,technology,Private Equity,Undisclosed
2017-06-30,UrbanClap,Mobile Services Marketplace,gurgaon,21000000.0,1,2017,6,consumer services,Private Equity,"Vy Capital, Saif Partners, Accel Partner, Bessemer Venture Partners"
2017-05-01,Ace2three,Online Rummy playing Website,hyderabad,73700000.0,1,2017,5,consumer services,Private Equity,Clairvest Group
2017-05-01,Power2SME,Buying portal for SMEs,gurgaon,10000000.0,1,2017,5,e-commerce,Private Equity,International Finance Corporation
2017-05-02,Innovapptive,Enterprise Mobility Solutions,hyderabad,1500000.0,1,2017,5,technology,Seed,Hyderabad Angels
2017-05-02,4tigo,Truck Network company,bengaluru,10000000.0,1,2017,5,logistics,Private Equity,"Accel Partners, Nandan Nilekani,"
2017-05-02,SMECorner,Online Platform for small business loans,mumbai,,0,2017,5,consumer services,Private Equity,Dutch Government Fund
2017-05-02,ZippServe,Real estate risk assessment platform,bengaluru,390000.0,1,2017,5,consumer services,Seed,Undisclosed
2017-05-03,Ola,Cab Aggregation App,bengaluru,104500000.0,1,2017,5,consumer services,Private Equity,"Falcon Edge Capital,\\Xc2\\Xa0 Capital Advisers"
2017-05-03,Sumeru,Software & Mobile development services,bengaluru,1000000.0,1,2017,5,technology,Seed,Undisclosed
2017-05-04,Healthians,Online Diagnostics and wellness platform,delhi,,0,2017,5,consumer services,Private Equity,"Asuka Holdings, Youwecan Ventures, Beenext, Beenos, M&S Partners"
2017-05-05,HealthMir,AI-based health content platform,delhi,,0,2017,5,consumer services,Seed,Nimit Panigrahi
2017-05-05,Uactive,Health-based social networking & discovery App,mumbai,,0,2017,5,consumer services,Seed,Hinduja Family
2017-05-05,i-lend,Peer-to-peer lending platform,hyderabad,,0,2017,5,consumer services,Seed,50K Ventures
2017-05-05,Good Methods Global,Cloud Based Practice Management Software,trivandrum,,0,2017,5,technology,Private Equity,Accel Partners
2017-05-05,Balance App,Money Savings & Management App,bengaluru,233000.0,1,2017,5,consumer services,Seed,Rainmatter
2017-05-08,YepMe,Private Label Fashion etailer,gurgaon,700000.0,1,2017,5,e-commerce,Private Equity,"Rainbow Digital Services Pvt. Ltd, Ilearnfinance Academy Pvt. Ltd."
2017-05-08,Nightstay,Last minute hotel booking mobile app,delhi,,0,2017,5,consumer services,Seed,"Indian Angels Network, Letsventure"
2017-05-08,Devourin,Restaurant Automation Solution,pune,,0,2017,5,technology,Seed,Deepak Nathani
2017-05-08,MyGreens,Cold-press Juices manufacturer,delhi,1000000.0,1,2017,5,food & beverage,Seed,"Ajay Relan, Letsventure"
2017-05-08,Ace Turtle,Omni-Channel Platform,bengaluru,5000000.0,1,2017,5,technology,Private Equity,"Vertex Ventures, C31 Ventures"
2017-05-08,CureFit,Health-Tech Platform,bengaluru,3200000.0,1,2017,5,technology,Private Equity,"Trifecta Capital Advisors Llp, Prathithi Investment Trust, Rnt Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & Others"
